Organization,Camp Name,Start Date,End Date,Days,Start Time,End Time,Location,Age Range,Grade Range,Price,Description
Club SciKidz Dallas,American Doll Adventures,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,Bentwood Trail Presbyterian Church,3-14,1st to 3rd,$385.00,"This the original American Doll camp and is a perennial favorite. American Doll Adventures takes campers through a journey  with the popular, historical doll characters!

While we encourage all campers to bring their dolls and plenty of enthusiasm (any brand doll is fine!), the camp is so much more than just “playing with dolls.” Girls will have a blast as they unleash their creativity by integrating the components of STEAM-Science, Technology, Engineering, Art, and Math.

Our American Doll Adventures Campers will bake a yummy dessert, sew a quilt for their doll, create an art masterpiece, study historical characters, perform some stunning science experiments, and complete an engineering build to name a just a few of this action packed week.  The week will also be sprinkled with tea parties, games, story telling, American doll characters, and plenty of fun and laughter.

Registration closes at 11:59pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."
Club SciKidz Dallas,American Doll Adventures,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,One Community Church- Prosper,3-14,1st to 3rd,$385.00,"This the original American Doll camp and is a perennial favorite. American Doll Adventures takes campers through a journey  with the popular, historical doll characters!

While we encourage all campers to bring their dolls and plenty of enthusiasm (any brand doll is fine!), the camp is so much more than just “playing with dolls.” Girls will have a blast as they unleash their creativity by integrating the components of STEAM-Science, Technology, Engineering, Art, and Math.

Our American Doll Adventures Campers will bake a yummy dessert, sew a quilt for their doll, create an art masterpiece, study historical characters, perform some stunning science experiments, and complete an engineering build to name a just a few of this action packed week.  The week will also be sprinkled with tea parties, games, story telling, American doll characters, and plenty of fun and laughter.

Registration closes at 11:59pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."
Club SciKidz Dallas,Cosmos,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,One Community Church- Prosper,3-14,1st to 3rd,$385.00,"""Is your child curious about what lies beyond our atmosphere? Do you have a future rocket scientist or astronaut in your family? Join us as we race across the Milky Way with twenty astronomy projects! This is the camp that your child will be talking about for a long time!

Sample Projects:
Experiment with screaming balloon rockets! Use Solar Glasses! Construct and use a Star Finder! Build a Telescope! Build and launch a rocket! Create a glow in the dark model of Saturn, design a UV bracelet, build a sun dial, model our solar system, and so much more!

Registration closes at 11:59 pm Friday before this camp begins. For late registrations, please email us at hello@cskdallas.com. Late registration fee of $20 will apply."""
Club SciKidz Dallas,Emergency Vet,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,Bentwood Trail Presbyterian Church,3-14,4th to 7th,$405.00,"Session Options
(Optional items chosen later in registration)
Pre-Camp (Begins at 8:00 AM) View More $30.00"
Club SciKidz Dallas,Grossology,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,Willow Bend Church,3-14,1st to 3rd,$385.00,"""Campers will discover loads of horribly fun & gross experiments! Projects focus on blood, bones and body bits! This is science with the squishy bits left in it! Tons of chemistry and biology for the aspiring doctor or scientist! Grossologists will indulge in many other sickening body experiments. This is our most disgusting camp! Sample Projects include Bulging Bag of Brains, Simulated Snot, Baby Diaper Dissection, Eyeball Acrobatics, Bird Barf...and we are only getting started!

Registration closes at 11:59 pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."""
Club SciKidz Dallas,Jr. Eco Explorer,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,Bentwood Trail Presbyterian Church,3-14,1st to 3rd,$385.00,"""What better place to explore than nature that is right outside our door? Campers will not only learn about this amazing planet with live on but learn how we can help keep it beautiful and healthy! They'll be arborists as they learn about different kinds or trees and even plant a pine tree. Next, They'll become entomologists as they do activities and experiments related to spiders, butterflies, and other insects. They'll discover that although sometimes insects may appear scary or frightening, they actually aren’t and even help us! Campers will explore the organisms and habitats of different ecosystems learn ways to take care of the planet we live on. They'll become experts on the “three Rs”.

Registration closes at 11:59 pm Friday before this camp begins. For late registrations, please email us at hello@cskdallas.com. Late registration fee of $20 will apply."""
Club SciKidz Dallas,Jr. Paleontologist,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,Bentwood Trail Presbyterian Church,3-14,1st to 3rd,$385.00,"""This camp offers an exciting introduction into the basics of Paleontology and Geology! This exciting adventure in Paleontology will have your child playing in the dirt and having the time of their lives. Campers will be immersed in hands-on projects that they will take home to continue their adventure. 
Sample Projects include Panning for Gems and Minerals! Crack Open a Geode!  Dig for fossils! Learn about petrified wood and trilobites!

Registration closes at 11:59 pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."""
Club SciKidz Dallas,Jr. Robot Engineer,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,Bentwood Trail Presbyterian Church,3-14,1st to 3rd,$395.00,"""This camp is a FUN introduction into the world of robotics. Campers will learn about the six simple machines and how they are incorporated into more complex machines. Campers will also learn about circuits and power sources as they build our “Mars-like” RC Rover. The radio-controlled RC Rover is capable of performing 23 experiments and activities. Campers will also have fun constructing our Artbot & Bristlebot!

Campers will be able to take home the robots they build for hours of fun after the camp week has finished! This camp sells out quickly every single year, so don't delay in registering your camper today.

*Formerly known as Little/Young Robot Engineer
Camp Tuition includes the $10 Lab Fee due to extraordinarily high costs of supplies for these labs.

Registration closes at 11:59 pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."""
Club SciKidz Dallas,Jr. Robot Engineer,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,One Community Church- Prosper,3-14,1st to 3rd,$395.00,"""This camp is a FUN introduction into the world of robotics. Campers will learn about the six simple machines and how they are incorporated into more complex machines. Campers will also learn about circuits and power sources as they build our “Mars-like” RC Rover. The radio-controlled RC Rover is capable of performing 23 experiments and activities. Campers will also have fun constructing our Artbot & Bristlebot!

Campers will be able to take home the robots they build for hours of fun after the camp week has finished! This camp sells out quickly every single year, so don't delay in registering your camper today.

*Formerly known as Little/Young Robot Engineer
Camp Tuition includes the $10 Lab Fee due to extraordinarily high costs of supplies for these labs.

Registration closes at 11:59 pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."""
Club SciKidz Dallas,Jr. Scientist,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,Willow Bend Church,3-14,1st to 3rd,$385.00,"""Fun and excitement is fostered by great lessons and hands-on experiments! Our Jr. Scientist camp covers a broad range of fun and exciting science topics in Chemistry, Earth Science, Life Science, Physical Science, and Lab Process Skills. It is by far our most popular summer science camp experience in this age category. Your camper will enjoy the 20 make-and-take projects, and that makes for a fantastic STEM summer!  A $15 lab fee is included in the camp tuition due to the extraordinary amount of supplies for this camp. This camp is formerly known as ""Young Scientist.""

Sample Projects:
Grow - Beast Experiment! Wacky Window Paint! Super Bouncing Balls! Optic Wonders! Wurmz and Dirt! Diving Submarines!

Registration closes at 11:59 pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."""
Club SciKidz Dallas,Lego Robotics with SPIKE Prime,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,Willow Bend Church,3-14,4th to 7th,$385.00,"""The LEGO® Education SPIKE™ Prime Set is our newest STEAM learning tool for campers going into grades 4–7. Combining colorful LEGO building
elements, easy–to–use hardware, and an intuitive drag–and–drop coding language based on Scratch, SPIKE Prime continuously engages campers through playful learning activities to think critically and solve complex problems, regardless of their learning level. From easy–entry projects to limitless creative design possibilities, including the option to explore text–based coding with Python, SPIKE Prime helps campers learn the essential STEAM and 21st century skills needed to become the innovative minds of tomorrow… while having fun!

Some general prior knowledge of block coding and robotic programing would be helpful for campers interested in registering for our Robotics with Lego SPIKE.

Camper Projects include: building a driving vehicle, exploring forecasts, weather and cloud data, detecting moving objects, exploring and comparing the efficiency of two robotic arms.
We also study how robots can complete tasks in space that humans cannot.

Registration closes at 11:59 pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."""
Club SciKidz Dallas,Lego WeDo + Scratch Coding,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,Willow Bend Church,3-14,1st to 3rd,$385.00,"""NEW in 2025!

Campers get to blend two of our favorite tech based camp themes into one exciting week of learning. The lessons taught in Lego WeDo + Scratch Coding will not just focus on Lego coding separate from Scratch video game creation, but it also allow the two to come together!

Lego WeDo is an easy-to-learn software that will help walk the campers through a variety of build creations. Scratch is coding program that helps learners of all ages build and play their very own video game creations!

Campers do not need any prior coding skills as this is a beginner friendly class. If your camper loves video games and Legos, then this will be the ideal camp for them!

Registration closes at 11:59pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."""
Club SciKidz Dallas,Little Engineer,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,One Community Church- Prosper,3-14,Pre-K to K,$385.00,"""Sir Isaac Newton never had this much fun! Campers will be immersed into our toy maker’s workshop as they construct and take home several different toy projects during the week. Campers will learn why kaleidoscopes produce such beautiful colors, build and play with a marshmallow shooter, and create the classic rubber band ball. Each project will teach an important physical property. Sample Projects include: Pocket Rocket, Sponge Ball Slingshot, Marshmallow Shooter, Snap Circuit Board.

*Please note: all campers MUST be 4 years old by the start of their camp week and must be completely potty-trained (please read more in our FAQ's).

Registration closes at 11:59 pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."""
Club SciKidz Dallas,Little Scientist,06/09/2025,06/13/2025,M - F,9:00 AM,4:00 PM,Bentwood Trail Presbyterian Church,3-14,Pre-K to K,$385.00,"""This unique camp will offer an incredible collection of projects and experiments that will amuse and amaze your little scientist! By being involved with several hands-on activities your child will explore the basic scientific ideas that play a role in everyday life.  Sample Projects include Stomp Rockets, Glowing Firefly, Edible Oceans, Marshmallow Catapults, Growing Radish Head, and Beeswax Candle.

In addition:
Campers will create and experiment with several other projects in the course of the week. This is a broad topic camp that teaches campers how the scientific method helps give us the answers to our many questions.

*Please note: all campers MUST be 4 years old by the start of their camp week and must be COMPLETELY POTTY TRAINED (please read more in our FAQ's).

Registration closes at 11:59 pm Friday before this camp begins. For late registrations, please email us at hello@clubscikidzdallas.com. Late registration fee of $20 will apply."""
