Organization,Camp Name,Start Date,End Date,Days,Start Time,End Time,Location,Age Range,Grade Range,Price,Description
iCode mckinney,Robot Squads : Engineering Team Challenge - 1 Day Camp,Apr 14,Apr 14,1-Day Camp,9:00 AM,4:00 PM,iCode mckinney,6 - 12,,$99,This camp focuses on designing & building battle-bots and ultimately competing against other students on a variety of challenges while learning sportsmanship and engineering.
iCode mckinney,Claymation Creation - Stop Motion Animation - 1 Day Camp,Apr 18,Apr 18,1-Day Camp,9:00 AM,4:00 PM,iCode mckinney,6 - 12,,$99,"Join us for a day-long of filming, video editing, and learning the fundamentals of claymation. Students get to present their final movie at the end of class! This is a great camp for creative-minded students."
iCode mckinney,Roblox Creator : Battle Royale - 1 Day Camp,Apr 28,Apr 28,1-Day Camp,9:00 AM,4:00 PM,iCode mckinney,6 - 12,,$99,Students will create a multiplayer game where players compete to be the last player remaining! A great way to learn core concepts in game design and computer science.
iCode mckinney,VEX - Robot Squads: Engineering Team Challenge,May 27,May 30,4-Day Camp,9:00 AM,4:00 PM,iCode mckinney,7 - 10,,$319,"Mimicking the structure of some of the world’s most competitive robotics challenges such as the First Lego League, and the DARPA Challenge, this fun and exciting week will give campers the opportunity to put their problem solving to the test! Using robotics, campers will team up and brainstorm solutions to many different challenges! During this camp, the skills of programming and engineering will be used to overcome obstacles. While campers work to complete multi-phased challenges, they will realize that teamwork is needed to solve the problems of tomorrow!"
iCode mckinney,VEX - Robot Squads: Engineering Team Challenge,,,,,,iCode mckinney,,,$319,"Mimicking the structure of some of the world’s most competitive robotics challenges such as the First Lego League, and the DARPA Challenge, this fun and exciting week will give campers the opportunity to put their problem solving to the test! Using robotics, campers will team up and brainstorm solutions to many different challenges! During this camp, the skills of programming and engineering will be used to overcome obstacles. While campers work to complete multi-phased challenges, they will realize that teamwork is needed to solve the problems of tomorrow!"
iCode mckinney,VEX - Robot Squads: Engineering Team Challenge,Jun 9,Jun 13,5-Day Camp,9:00 AM,4:00 PM,iCode mckinney,7 - 10,,$399,"Mimicking the structure of some of the world’s most competitive robotics challenges such as the First Lego League, and the DARPA Challenge, this fun and exciting week will give campers the opportunity to put their problem solving to the test! Using robotics, campers will team up and brainstorm solutions to many different challenges! During this camp, the skills of programming and engineering will be used to overcome obstacles. While campers work to complete multi-phased challenges, they will realize that teamwork is needed to solve the problems of tomorrow!"
iCode mckinney,VEX - Robot Squads: Engineering Team Challenge,,,,,,iCode mckinney,,,$399,"Mimicking the structure of some of the world’s most competitive robotics challenges such as the First Lego League, and the DARPA Challenge, this fun and exciting week will give campers the opportunity to put their problem solving to the test! Using robotics, campers will team up and brainstorm solutions to many different challenges! During this camp, the skills of programming and engineering will be used to overcome obstacles. While campers work to complete multi-phased challenges, they will realize that teamwork is needed to solve the problems of tomorrow!"
iCode mckinney,Minecraft Survival: The Building Blocks of Coding,May 27,May 30,4-Day Camp,9:00 AM,4:00 PM,iCode mckinney,7 - 14,,$319,"Learn conditionals, functions, coordinates and more in block-based coding and JavaScript. Students will Design an original creative project to program four tools for a survival backpack to help them in a Minecraft world."
iCode mckinney,VEX - Battle of the Bots : Tournament of Champions,May 27,May 30,4-Day Camp,9:00 AM,4:00 PM,iCode mckinney,7 - 10,,$319,"Battle of the bots is a great way to learn how technologies like programming, sensors, gears, and mechanics work, all while having fun! Campers will learn the fundamentals of mechanical engineering as they team up to build robotic systems and compete against one another in tasks such as sumo-wrestling, tug-o-war, head-to-head combat, and much more! By the end of the week, campers will put their skills to the test and see who can build the best battle bot."
iCode mckinney,VEX - Battle of the Bots : Tournament of Champions,Jun 2,Jun 6,5-Day Camp,9:00 AM,12:00 PM,iCode mckinney,6 - 10,,$249,"Battle of the bots is a great way to learn how technologies like programming, sensors, gears, and mechanics work, all while having fun! Campers will learn the fundamentals of mechanical engineering as they team up to build robotic systems and compete against one another in tasks such as sumo-wrestling, tug-o-war, head-to-head combat, and much more! By the end of the week, campers will put their skills to the test and see who can build the best battle bot."
