Organization,Camp Name,Start Date,End Date,Days,Start Time,End Time,Location,Age Range,Grade Range,Price,Description
iCode Plano,"$ 
                        
                     YouTube Creator : Learn Production Basics",May 26,May 30,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,9 - 11,,$499,"Youtube has become the premier platform for creators of all kinds to film and produce content that reaches millions of people. This camp is perfect for future content creators to learn the skills that will push their videos to the top. Campers will learn to use digital cameras, how to edit audio, video, and produce content that is not just unique but interesting for their audience."
iCode Plano,"$ 
                        
                     YouTube Creator : Learn Production Basics",Jun 23,Jun 27,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,9 - 11,,$499,"Youtube has become the premier platform for creators of all kinds to film and produce content that reaches millions of people. This camp is perfect for future content creators to learn the skills that will push their videos to the top. Campers will learn to use digital cameras, how to edit audio, video, and produce content that is not just unique but interesting for their audience."
iCode Plano,"$ 
                        
                     Junior Robotics: Programming With Vex 123",May 26,May 30,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,8 - 10,,$499,"Using the VEX 123 platform, campers will engage in hands-on activities that progress from simple robot control to block-based programming. Throughout the week, students will tackle fun challenges like navigating obstacle courses and completing real-world-inspired tasks, all while building skills in creative problem-solving, collaboration, and critical thinking."
iCode Plano,"$ 
                        
                     Jr Programmer: Intro to 2D Game Development with Scratch",May 26,May 30,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,7 - 9,,$499,"Campers learn to create games and advanced applications using the Scratch programming language. They’ll integrate functions, custom code blocks, and physical components into their projects while also gaining other important skills like flowcharting, and principles of electrical engineering. Campers will learn to develop games similar to Flappy Birds, Pac-Man, and other platformer games."
iCode Plano,"$ 
                        
                     Jr Programmer: Intro to 2D Game Development with Scratch",Jun 23,Jun 27,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,7 - 9,,$499,"Campers learn to create games and advanced applications using the Scratch programming language. They’ll integrate functions, custom code blocks, and physical components into their projects while also gaining other important skills like flowcharting, and principles of electrical engineering. Campers will learn to develop games similar to Flappy Birds, Pac-Man, and other platformer games."
iCode Plano,"$ 
                        
                     Minecraft: Modding Adventure",May 26,May 30,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,11 - 14,,$499,Campers will learn how to make Mods (modifications) for one of their favorite games: Minecraft. Learning to mod in Minecraft is a gateway to an adventure of creativity in computer skills that can be taken from video games to the real world!
iCode Plano,"$ 
                        
                     Minecraft Survival: The Building Blocks of Coding",Jun 2,Jun 6,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,9 - 11,,$499,"Learn conditionals, functions, coordinates and more in block-based coding and JavaScript. Students will Design an original creative project to program four tools for a survival backpack to help them in a Minecraft world."
iCode Plano,"$ 
                        
                     VEX - Robot Squads: Engineering Team Challenge",Jun 2,Jun 6,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,8 - 10,,$499,"Mimicking the structure of some of the world’s most competitive robotics challenges such as the First Lego League, and the DARPA Challenge, this fun and exciting week will give campers the opportunity to put their problem solving to the test! Using robotics, campers will team up and brainstorm solutions to many different challenges! During this camp, the skills of programming and engineering will be used to overcome obstacles. While campers work to complete multi-phased challenges, they will realize that teamwork is needed to solve the problems of tomorrow!"
iCode Plano,"$ 
                        
                     Roblox Design Intro: Capture The Flag",Jun 2,Jun 6,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,7 - 9,,$499,"Dive into game development using Roblox Studio. Each day, campers will learn fundamental skills in game design, 3D modeling, and scripting to create their interactive environments, culminating in a ""Capture the Flag"" multiplayer experience."
iCode Plano,"$ 
                        
                     Roblox Design Intro: Capture The Flag",Jun 9,Jun 13,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,11 - 14,,$499,"Dive into game development using Roblox Studio. Each day, campers will learn fundamental skills in game design, 3D modeling, and scripting to create their interactive environments, culminating in a ""Capture the Flag"" multiplayer experience."
iCode Plano,"$ 
                        
                     Roblox Design Intro: Capture The Flag",Jun 16,Jun 20,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,7 - 9,,$499,"Dive into game development using Roblox Studio. Each day, campers will learn fundamental skills in game design, 3D modeling, and scripting to create their interactive environments, culminating in a ""Capture the Flag"" multiplayer experience."
iCode Plano,"$ 
                        
                     Unreal Designer: 3D Game Development with UE5",Jun 2,Jun 6,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,11 - 14,,$499,Campers dive into the world of professional video game development using Unreal Engine 5.
iCode Plano,"$ 
                        
                     Unreal Designer: 3D Game Development with UE5",Jun 23,Jun 27,5-Day Camp,9:00 AM,4:00 PM,iCode Plano,11 - 14,,$499,Campers dive into the world of professional video game development using Unreal Engine 5.
