Organization,Camp Name,Week,Days,Start Time,End Time,Location,Age Range,Grade Range,Price,Description,Email,Contact
Lifetime Fitness,School Break Camp (SCHOOL BREAK),"Friday, April 18, 2025",Fridays,9:00 AM,4:00 PM,Lifetime Fitness Frisco,Age 5 - 8 years,,$63/day ($315.00/week),"School's out! We'll include your child in sports, crafts, gym games, S.T.E.A.M. activities and FUN! Activities & amenities vary by location.",,
Lifetime Fitness,School Break Camp Half Day PM (SCHOOL BREAK),"Friday, April 18, 2025",Fridays,1:00,4:00 PM,Lifetime Fitness Frisco,Age 5 - 12 years,,$32/day ($160.00/week),,,
Lifetime Fitness,School Break Camp Half Day AM (SCHOOL BREAK),"Friday, April 18, 2025",Fridays,9:00 AM,12:00 PM,Lifetime Fitness Frisco,Age 5 - 12 years,,$32/day ($160.00/week),,,
Lifetime Fitness,School Break Camp (SCHOOL BREAK),"Friday, April 18, 2025",Fridays,9:00 AM,4:00 PM,Lifetime Fitness Frisco,Age 9 - 12 years,,$63/day ($315.00/week),"School's out! We'll include your child in sports, crafts, gym games, S.T.E.A.M. activities and FUN! Activities & amenities vary by location.",,
Lifetime Fitness,"Drop the Beat, Move Your Feet (SUMMER CAMP)","Thursday, May 22, 2025",Thursdays,9:00 AM,4:00 PM,Lifetime Fitness Frisco,Age 5 - 8 years,,$66/day ($330.00/week),"This camp is guaranteed to have you moving and grooving all day long. We will master some of the most popular dance moves of today and venture back in time to explore music, dancing, and more through the years.  From lip sync challenges to designing our own concert tour posters campers will have a chance to be active and explore all parts of the musical arts throughout the week.",,
Lifetime Fitness,Summer Vibes (SUMMER CAMP),"May 26 to May 30, 2025",Mon – Fri,9:00 AM,4:00 PM,Lifetime Fitness Frisco,Age 5 - 8 years,,$66/day ($330.00/week),\n\nFriday Field Trip: Main Event,,
Lifetime Fitness,Summer Vibes (SUMMER CAMP),"May 26 to May 30, 2025",Mon – Fri,9:00 AM,4:00 PM,Lifetime Fitness Frisco,Age 9 - 12 years,,$66/day ($330.00/week),\n\nFriday Field Trip: Main Event,,
Lifetime Fitness,Demolition Designers (SUMMER CAMP),"Jun 2 to Jun 6, 2025",Mon – Fri,9:00 AM,4:00 PM,Lifetime Fitness Frisco,Age 5 - 8 years,,$66/day ($330.00/week),"Don’t worry parents – everything is under control.  Campers will enjoy the best of both worlds as they design a variety of artistic masterpieces and epic structures.  Then, we have a destructively good time as we tear it all down!  This week promises to be a blast of creativity and controlled chaos!\n\nFriday Field Trip: On Site",,
Lifetime Fitness,Demolition Designers (SUMMER CAMP),"Jun 2 to Jun 6, 2025",Mon – Fri,9:00 AM,4:00 PM,Lifetime Fitness Frisco,Age 9 - 12 years,,$66/day ($330.00/week),"Don’t worry parents – everything is under control.  Campers will enjoy the best of both worlds as they design a variety of artistic masterpieces and epic structures.  Then, we have a destructively good time as we tear it all down!  This week promises to be a blast of creativity and controlled chaos!\n\nFriday Field Trip: On Site",,
Lifetime Fitness,Retro Remix (SUMMER CAMP),"Jun 9 to Jun 13, 2025",Mon – Fri,9:00 AM,4:00 PM,Lifetime Fitness Frisco,Age 5 - 8 years,,$66/day ($330.00/week),"Take a trip back in time as we explore the best of the ‘50s, ‘60s, ‘70s, ‘80s and ‘90s! Each day, we’ll travel through a new decade and discover the unique trends, cultural events and historic moments that shaped each one. Era-appropriate costumes are encouraged to represent the best of each decade.\n\nFriday Field Trip: Forth Worth Science Museum",,
