Organization,Camp Name,Week,Days,Start Time,End Time,Location,Age Range,Grade Range,Price,Description,Email,Contact
One River School Frisco,LEARN TO USE: BLENDER,"WEEK 1 | MAY 27-30, 2025 | May 27-30, 2025",Monday-Friday,9:30am,12:00pm,One River School Frisco,,GRADES 6-12,$310,"Learn to craft and sculpt objects for animated films, visual effects, 3D printed models, motion graphics, augmented/virtual reality or computer games with this introductory camp to the program Blender. Students will create a series of three dimensional objects while learning the essentials of the program. This class is designed for beginners to develop a foundational understanding of the program and discover unique skills to aid them in their future digital creations!

• Learn to use Blender
• Explore techniques associated with sculpting & rendering 3D digital objects!
• Create a small collection of unique 3D art objects",info.frisco@oneriverschool.com,469-284-4900
One River School Frisco,MANGA: POSES & FACES,"WEEK 1 | MAY 27-30, 2025 | May 27-30, 2025",Monday-Friday,9:30am,12:00pm,One River School Frisco,,GRADES 6-12,$290,"Mastering drawing of your anime characters requires learning human proportions, muscles and how the body changes in different poses. We will focus on these techniques to develop a strong foundation for our characters so that they look life-like and proportional.

• Learn how to draw an anime figure in multiple poses
• Explore drawing faces from the front, side and three-quarter view
• Learn how your manga inspired figures differ from a traditional figure drawing",info.frisco@oneriverschool.com,469-284-4900
One River School Frisco,COSPLAY: HEADWEAR & HELMETS,"WEEK 1 | MAY 27-30, 2025 | May 27-30, 2025",Monday-Friday,12:30pm,3:00pm,One River School Frisco,,GRADES 6-12,$310,"Cosplay, one of One River’s most popular camps, allows students to design and build a functional costume or prop using EVA foam. For those new to this form of art, cosplaying is an activity where you dress as your favorite character from comics, film, or TV.

• Learn how to cut, layer, glue and shape EVA foam
• Focus on making props such as helmets, headdresses, masks, crowns, horns and more
• This camp is often taken in conjunction with Cosplay: Shields & Swords",info.frisco@oneriverschool.com,469-284-4900
One River School Frisco,MONSTER MADNESS,"WEEK 1 | MAY 27-30, 2025 | May 27-30, 2025",Monday-Friday,12:30pm,3:00pm,One River School Frisco,,GRADES 3-5,$290,"Use clay to create your own magical monster family! Scary, cute, creepy or cuddly, you get to design and build a series of monsters inspired by your favorite characters or your own family!

• Brainstorm what your monsters will look like, their personalities and develop a backstory for each monster
• Learn useful techniques - like rolling perfect spheres, cylinders, creating faces, limbs and textures with clay
• Create a series of 3D monsters complete with names, identities and accessories",info.frisco@oneriverschool.com,469-284-4900
One River School Frisco,ONE CHARACTER A DAY,"WEEK 1 | MAY 27-30, 2025 | May 27-30, 2025",Monday-Friday,12:30pm,3:00pm,One River School Frisco,,GRADES 3-5,$290,"Create a dynamic team featuring your own original characters! Students will discover how to push their illustration skills further with Adobe Photoshop to create a powerful team of heroes and misfits of any genre! During this camp, students will create a new character each day to create a full team of 4 or more characters!

• Develop skills in Adobe Photoshop such as layering, brush settings, and layer masks
• Demonstrate an understanding of how to illustrate dynamic characters with enhanced abilities
• Complete a team illustration of 4 or more original characters",info.frisco@oneriverschool.com,469-284-4900
One River School Frisco,WATERCOLOR UNDERWORLDS,"WEEK 1 | MAY 27-30, 2025 | May 27-30, 2025",Monday-Friday,9:30am,12:00pm,One River School Frisco,,GRADES K-2,$290,"Explore underwater creatures from the familiar sea turtle to the exotic vampire squid. Students will learn a variety of watercolor painting techniques as they create unique underwater scenes!

• Learn how to use watercolor paints and techniques
• Explore drawing and painting with different tools
• Create a watercolor and mixed media work of art",info.frisco@oneriverschool.com,469-284-4900
One River School Frisco,ANIME GLASS PAINTING,"WEEK 2 | JUN 2-6, 2025 | Jun 2-6, 2025",Monday-Friday,9:30am,12:00pm,One River School Frisco,,GRADES 6-12,$365,"Create a unique painting of your own Anime inspired character on a glass surface!  Students will master painting with acrylic paint on glass, while learning how to bring their character to life through layering paint in a manner similar to that of cell paintings.

• Develop an original manga character while learning proportions appropriate to the style
• Compose a thoughtful color scheme and learn how to layer paint on glass
• Complete a character design painted in acrylics on plexi",info.frisco@oneriverschool.com,469-284-4900
One River School Frisco,DESIGN SPRINTS,"WEEK 2 | JUN 2-6, 2025 | Jun 2-6, 2025",Monday-Friday,9:30am,12:00pm,One River School Frisco,,GRADES 6-12,$385,"Students will work on a series of daily projects designed to walk them through the essentials of Adobe Photoshop. The class is for beginners to develop a foundational understanding of the program and discover unique skills to aid them in their future projects!

• Learn to use Adobe Photoshop
• We will explore how to create a background extension, removing objects, masking, object glow, neon layers, and much more
• Complete a series of unique, independent design pieces",info.frisco@oneriverschool.com,469-284-4900
One River School Frisco,DESIGN YOUR CHARACTER,"WEEK 2 | JUN 2-6, 2025 | Jun 2-6, 2025",Monday-Friday,12:30pm,3:00pm,One River School Frisco,,GRADES 6-12,$385,"Students in this camp will explore how to design & render a character from the ground up. Everything will be covered in this camp! From ideation, sketching, and inking to full rendering techniques, students will test their creativity and art making skills through the use of digital software. This camp is designed for the pure beginner digital artist who has an original character in their mind which is burning to get out!

• Learn how to use tools in SketchBook Pro
• Demonstrate the fundamentals of character design and rendering
• Complete an original character design",info.frisco@oneriverschool.com,469-284-4900
One River School Frisco,SKETCH SERIES,"WEEK 2 | JUN 2-6, 2025 | Jun 2-6, 2025",Monday-Friday,12:30pm,3:00pm,One River School Frisco,,GRADES 6-12,$365,"This drawing adventure is the perfect way for teens to explore sketching and learn techniques that they can take with them for all their future sketchbook adventures.  Each day we will focus on sketching a different subject and learn a new sketching technique.

• Explore hatching, cross-hatching, stippling, scribbling and shading
• Evoke different emotions through your sketches daily
• Fill your sketchbook with a new sketch each day across a variety of subject matter",info.frisco@oneriverschool.com,469-284-4900
