Organization,Camp Name,Week,Days,Start Time,End Time,Location,Age Range,Grade Range,Price,Description,Email,Contact
YMCA Dallas,Camp Broken Arrow in North Dallas,06/02/25 - 06/06/25,"Mo,Tu,We,Th,Fr",8:00am,5:00pm,Brookhaven College Campus,,,$185.00 per week for YMCA Members | $215.00 for Non-Members,"Camp Broken Arrow is an Indoor Camp. Campers at Indoor Camps spend approximately 30% of their time outside.
Camp Broken Arrow Location: Brookhaven College Campus | 3939 Valley View Lane, Farmers Branch, 75244
Camp Regular Care Rates:  $185.00 per week for YMCA Members | $215.00 for Non-Members
Camp Extended Care Rates: $205.00 per week for YMCA Members | $235.00 for Non-Members
Camp Premium Extended Care Rates: $235.00 per week for YMCA Members | $265.00 for Non-Members
(Second child discounts are not automatically applied at the point of registration. Please email Tirzah.anderson@ymcadallas.org after completing the enrollment process for your weekly rate to be adjusted accordingly.)
Camp Registration Fees (non-refundable/non-transferable): $100.00
(Registration Fee is discounted 50% during Super Sign-Up Weekend Friday, March 7th through Monday, March 10th)
Camp Hours of Operation – Regular Care: 8:00am to 5:00pm
Camp Hours of Operation – Extended Care: 7:30am to 5:30pm
Camp Hours of Operation – Premium Extended Care: 7:00am to 6:00pm
Camp Dates: Camp will operate weekly Monday through Friday from 6/2/2025 to 8/1/2025.
Camp will be closed on Friday 7/4/2025.
Camp Meals/Snacks: TBD
YMCA Dallas serves free summer meals at select summer camp locations that meet specific at-risk/income guidelines established by the Texas Department of Agriculture and the USDA. These meals are at no cost to our families and are not reflected in the price of the weekly camper week. Campers can choose to partake, or they can bring their own nut-free lunch.
Please note that we do not allow any foods that contain or that are processed in plants with tree nuts or peanuts at any of our campsites. We also do not have the capacity to heat up or refrigerate food. 
Program Director: Lori Berry | lberry@ymcadallas.org
Childcare Customer Support: Laura Ortiz | lortiz@ymcadallas.org or 469-722-7329
  Wait List Update: 
All weeks are on a first come first serve basis.  Once a camp is full, you can check back with us weekly on Wednesday morning or Friday at noon, as all availability will be public online. Click the “Register for Camp” to view availability.
Questions about enrollment? Contact your Customer Support Representative, Laura Ortiz.",Tirzah.anderson@ymcadallas.org,Lori Berry
YMCA Dallas,Camp Broken Arrow in North Dallas,06/09/25 - 06/13/25,"Mo,Tu,We,Th,Fr",8:00am,5:00pm,Brookhaven College Campus,,,$185.00 per week for YMCA Members | $215.00 for Non-Members,"Camp Broken Arrow is an Indoor Camp. Campers at Indoor Camps spend approximately 30% of their time outside.
Camp Broken Arrow Location: Brookhaven College Campus | 3939 Valley View Lane, Farmers Branch, 75244
Camp Regular Care Rates:  $185.00 per week for YMCA Members | $215.00 for Non-Members
Camp Extended Care Rates: $205.00 per week for YMCA Members | $235.00 for Non-Members
Camp Premium Extended Care Rates: $235.00 per week for YMCA Members | $265.00 for Non-Members
(Second child discounts are not automatically applied at the point of registration. Please email Tirzah.anderson@ymcadallas.org after completing the enrollment process for your weekly rate to be adjusted accordingly.)
Camp Registration Fees (non-refundable/non-transferable): $100.00
(Registration Fee is discounted 50% during Super Sign-Up Weekend Friday, March 7th through Monday, March 10th)
Camp Hours of Operation – Regular Care: 8:00am to 5:00pm
Camp Hours of Operation – Extended Care: 7:30am to 5:30pm
Camp Hours of Operation – Premium Extended Care: 7:00am to 6:00pm
Camp Dates: Camp will operate weekly Monday through Friday from 6/2/2025 to 8/1/2025.
Camp will be closed on Friday 7/4/2025.
Camp Meals/Snacks: TBD
YMCA Dallas serves free summer meals at select summer camp locations that meet specific at-risk/income guidelines established by the Texas Department of Agriculture and the USDA. These meals are at no cost to our families and are not reflected in the price of the weekly camper week. Campers can choose to partake, or they can bring their own nut-free lunch.
Please note that we do not allow any foods that contain or that are processed in plants with tree nuts or peanuts at any of our campsites. We also do not have the capacity to heat up or refrigerate food. 
Program Director: Lori Berry | lberry@ymcadallas.org
Childcare Customer Support: Laura Ortiz | lortiz@ymcadallas.org or 469-722-7329
  Wait List Update: 
All weeks are on a first come first serve basis.  Once a camp is full, you can check back with us weekly on Wednesday morning or Friday at noon, as all availability will be public online. Click the “Register for Camp” to view availability.
Questions about enrollment? Contact your Customer Support Representative, Laura Ortiz.",Tirzah.anderson@ymcadallas.org,Lori Berry
YMCA Dallas,Camp Broken Arrow in North Dallas,06/16/25 - 06/20/25,"Mo,Tu,We,Th,Fr",8:00am,5:00pm,Brookhaven College Campus,,,$185.00 per week for YMCA Members | $215.00 for Non-Members,"Camp Broken Arrow is an Indoor Camp. Campers at Indoor Camps spend approximately 30% of their time outside.
Camp Broken Arrow Location: Brookhaven College Campus | 3939 Valley View Lane, Farmers Branch, 75244
Camp Regular Care Rates:  $185.00 per week for YMCA Members | $215.00 for Non-Members
Camp Extended Care Rates: $205.00 per week for YMCA Members | $235.00 for Non-Members
Camp Premium Extended Care Rates: $235.00 per week for YMCA Members | $265.00 for Non-Members
(Second child discounts are not automatically applied at the point of registration. Please email Tirzah.anderson@ymcadallas.org after completing the enrollment process for your weekly rate to be adjusted accordingly.)
Camp Registration Fees (non-refundable/non-transferable): $100.00
(Registration Fee is discounted 50% during Super Sign-Up Weekend Friday, March 7th through Monday, March 10th)
Camp Hours of Operation – Regular Care: 8:00am to 5:00pm
Camp Hours of Operation – Extended Care: 7:30am to 5:30pm
Camp Hours of Operation – Premium Extended Care: 7:00am to 6:00pm
Camp Dates: Camp will operate weekly Monday through Friday from 6/2/2025 to 8/1/2025.
Camp will be closed on Friday 7/4/2025.
Camp Meals/Snacks: TBD
YMCA Dallas serves free summer meals at select summer camp locations that meet specific at-risk/income guidelines established by the Texas Department of Agriculture and the USDA. These meals are at no cost to our families and are not reflected in the price of the weekly camper week. Campers can choose to partake, or they can bring their own nut-free lunch.
Please note that we do not allow any foods that contain or that are processed in plants with tree nuts or peanuts at any of our campsites. We also do not have the capacity to heat up or refrigerate food. 
Program Director: Lori Berry | lberry@ymcadallas.org
Childcare Customer Support: Laura Ortiz | lortiz@ymcadallas.org or 469-722-7329
  Wait List Update: 
All weeks are on a first come first serve basis.  Once a camp is full, you can check back with us weekly on Wednesday morning or Friday at noon, as all availability will be public online. Click the “Register for Camp” to view availability.
Questions about enrollment? Contact your Customer Support Representative, Laura Ortiz.",Tirzah.anderson@ymcadallas.org,Lori Berry
YMCA Dallas,Camp Broken Arrow in North Dallas,06/23/25 - 06/27/25,"Mo,Tu,We,Th,Fr",8:00am,5:00pm,Brookhaven College Campus,,,$185.00 per week for YMCA Members | $215.00 for Non-Members,"Camp Broken Arrow is an Indoor Camp. Campers at Indoor Camps spend approximately 30% of their time outside.
Camp Broken Arrow Location: Brookhaven College Campus | 3939 Valley View Lane, Farmers Branch, 75244
Camp Regular Care Rates:  $185.00 per week for YMCA Members | $215.00 for Non-Members
Camp Extended Care Rates: $205.00 per week for YMCA Members | $235.00 for Non-Members
Camp Premium Extended Care Rates: $235.00 per week for YMCA Members | $265.00 for Non-Members
(Second child discounts are not automatically applied at the point of registration. Please email Tirzah.anderson@ymcadallas.org after completing the enrollment process for your weekly rate to be adjusted accordingly.)
Camp Registration Fees (non-refundable/non-transferable): $100.00
(Registration Fee is discounted 50% during Super Sign-Up Weekend Friday, March 7th through Monday, March 10th)
Camp Hours of Operation – Regular Care: 8:00am to 5:00pm
Camp Hours of Operation – Extended Care: 7:30am to 5:30pm
Camp Hours of Operation – Premium Extended Care: 7:00am to 6:00pm
Camp Dates: Camp will operate weekly Monday through Friday from 6/2/2025 to 8/1/2025.
Camp will be closed on Friday 7/4/2025.
Camp Meals/Snacks: TBD
YMCA Dallas serves free summer meals at select summer camp locations that meet specific at-risk/income guidelines established by the Texas Department of Agriculture and the USDA. These meals are at no cost to our families and are not reflected in the price of the weekly camper week. Campers can choose to partake, or they can bring their own nut-free lunch.
Please note that we do not allow any foods that contain or that are processed in plants with tree nuts or peanuts at any of our campsites. We also do not have the capacity to heat up or refrigerate food. 
Program Director: Lori Berry | lberry@ymcadallas.org
Childcare Customer Support: Laura Ortiz | lortiz@ymcadallas.org or 469-722-7329
  Wait List Update: 
All weeks are on a first come first serve basis.  Once a camp is full, you can check back with us weekly on Wednesday morning or Friday at noon, as all availability will be public online. Click the “Register for Camp” to view availability.
Questions about enrollment? Contact your Customer Support Representative, Laura Ortiz.",Tirzah.anderson@ymcadallas.org,Lori Berry
YMCA Dallas,Camp Broken Arrow in North Dallas,06/30/25 - 07/03/25,"Camp Not in Service Friday, 7/4/2025 - Mo,Tu,We,Th",8:00am,5:00pm,Brookhaven College Campus,,,$185.00 per week for YMCA Members | $215.00 for Non-Members,"Camp Broken Arrow is an Indoor Camp. Campers at Indoor Camps spend approximately 30% of their time outside.
Camp Broken Arrow Location: Brookhaven College Campus | 3939 Valley View Lane, Farmers Branch, 75244
Camp Regular Care Rates:  $185.00 per week for YMCA Members | $215.00 for Non-Members
Camp Extended Care Rates: $205.00 per week for YMCA Members | $235.00 for Non-Members
Camp Premium Extended Care Rates: $235.00 per week for YMCA Members | $265.00 for Non-Members
(Second child discounts are not automatically applied at the point of registration. Please email Tirzah.anderson@ymcadallas.org after completing the enrollment process for your weekly rate to be adjusted accordingly.)
Camp Registration Fees (non-refundable/non-transferable): $100.00
(Registration Fee is discounted 50% during Super Sign-Up Weekend Friday, March 7th through Monday, March 10th)
Camp Hours of Operation – Regular Care: 8:00am to 5:00pm
Camp Hours of Operation – Extended Care: 7:30am to 5:30pm
Camp Hours of Operation – Premium Extended Care: 7:00am to 6:00pm
Camp Dates: Camp will operate weekly Monday through Friday from 6/2/2025 to 8/1/2025.
Camp will be closed on Friday 7/4/2025.
Camp Meals/Snacks: TBD
YMCA Dallas serves free summer meals at select summer camp locations that meet specific at-risk/income guidelines established by the Texas Department of Agriculture and the USDA. These meals are at no cost to our families and are not reflected in the price of the weekly camper week. Campers can choose to partake, or they can bring their own nut-free lunch.
Please note that we do not allow any foods that contain or that are processed in plants with tree nuts or peanuts at any of our campsites. We also do not have the capacity to heat up or refrigerate food. 
Program Director: Lori Berry | lberry@ymcadallas.org
Childcare Customer Support: Laura Ortiz | lortiz@ymcadallas.org or 469-722-7329
  Wait List Update: 
All weeks are on a first come first serve basis.  Once a camp is full, you can check back with us weekly on Wednesday morning or Friday at noon, as all availability will be public online. Click the “Register for Camp” to view availability.
Questions about enrollment? Contact your Customer Support Representative, Laura Ortiz.",Tirzah.anderson@ymcadallas.org,Lori Berry
YMCA Dallas,Camp Broken Arrow in North Dallas,07/07/25 - 07/11/25,"Mo,Tu,We,Th,Fr",8:00am,5:00pm,Brookhaven College Campus,,,$185.00 per week for YMCA Members | $215.00 for Non-Members,"Camp Broken Arrow is an Indoor Camp. Campers at Indoor Camps spend approximately 30% of their time outside.
Camp Broken Arrow Location: Brookhaven College Campus | 3939 Valley View Lane, Farmers Branch, 75244
Camp Regular Care Rates:  $185.00 per week for YMCA Members | $215.00 for Non-Members
Camp Extended Care Rates: $205.00 per week for YMCA Members | $235.00 for Non-Members
Camp Premium Extended Care Rates: $235.00 per week for YMCA Members | $265.00 for Non-Members
(Second child discounts are not automatically applied at the point of registration. Please email Tirzah.anderson@ymcadallas.org after completing the enrollment process for your weekly rate to be adjusted accordingly.)
Camp Registration Fees (non-refundable/non-transferable): $100.00
(Registration Fee is discounted 50% during Super Sign-Up Weekend Friday, March 7th through Monday, March 10th)
Camp Hours of Operation – Regular Care: 8:00am to 5:00pm
Camp Hours of Operation – Extended Care: 7:30am to 5:30pm
Camp Hours of Operation – Premium Extended Care: 7:00am to 6:00pm
Camp Dates: Camp will operate weekly Monday through Friday from 6/2/2025 to 8/1/2025.
Camp will be closed on Friday 7/4/2025.
Camp Meals/Snacks: TBD
YMCA Dallas serves free summer meals at select summer camp locations that meet specific at-risk/income guidelines established by the Texas Department of Agriculture and the USDA. These meals are at no cost to our families and are not reflected in the price of the weekly camper week. Campers can choose to partake, or they can bring their own nut-free lunch.
Please note that we do not allow any foods that contain or that are processed in plants with tree nuts or peanuts at any of our campsites. We also do not have the capacity to heat up or refrigerate food. 
Program Director: Lori Berry | lberry@ymcadallas.org
Childcare Customer Support: Laura Ortiz | lortiz@ymcadallas.org or 469-722-7329
  Wait List Update: 
All weeks are on a first come first serve basis.  Once a camp is full, you can check back with us weekly on Wednesday morning or Friday at noon, as all availability will be public online. Click the “Register for Camp” to view availability.
Questions about enrollment? Contact your Customer Support Representative, Laura Ortiz.",Tirzah.anderson@ymcadallas.org,Lori Berry
YMCA Dallas,Camp Broken Arrow in North Dallas,07/14/25 - 07/18/25,"Mo,Tu,We,Th,Fr",8:00am,5:00pm,Brookhaven College Campus,,,$185.00 per week for YMCA Members | $215.00 for Non-Members,"Camp Broken Arrow is an Indoor Camp. Campers at Indoor Camps spend approximately 30% of their time outside.
Camp Broken Arrow Location: Brookhaven College Campus | 3939 Valley View Lane, Farmers Branch, 75244
Camp Regular Care Rates:  $185.00 per week for YMCA Members | $215.00 for Non-Members
Camp Extended Care Rates: $205.00 per week for YMCA Members | $235.00 for Non-Members
Camp Premium Extended Care Rates: $235.00 per week for YMCA Members | $265.00 for Non-Members
(Second child discounts are not automatically applied at the point of registration. Please email Tirzah.anderson@ymcadallas.org after completing the enrollment process for your weekly rate to be adjusted accordingly.)
Camp Registration Fees (non-refundable/non-transferable): $100.00
(Registration Fee is discounted 50% during Super Sign-Up Weekend Friday, March 7th through Monday, March 10th)
Camp Hours of Operation – Regular Care: 8:00am to 5:00pm
Camp Hours of Operation – Extended Care: 7:30am to 5:30pm
Camp Hours of Operation – Premium Extended Care: 7:00am to 6:00pm
Camp Dates: Camp will operate weekly Monday through Friday from 6/2/2025 to 8/1/2025.
Camp will be closed on Friday 7/4/2025.
Camp Meals/Snacks: TBD
YMCA Dallas serves free summer meals at select summer camp locations that meet specific at-risk/income guidelines established by the Texas Department of Agriculture and the USDA. These meals are at no cost to our families and are not reflected in the price of the weekly camper week. Campers can choose to partake, or they can bring their own nut-free lunch.
Please note that we do not allow any foods that contain or that are processed in plants with tree nuts or peanuts at any of our campsites. We also do not have the capacity to heat up or refrigerate food. 
Program Director: Lori Berry | lberry@ymcadallas.org
Childcare Customer Support: Laura Ortiz | lortiz@ymcadallas.org or 469-722-7329
  Wait List Update: 
All weeks are on a first come first serve basis.  Once a camp is full, you can check back with us weekly on Wednesday morning or Friday at noon, as all availability will be public online. Click the “Register for Camp” to view availability.
Questions about enrollment? Contact your Customer Support Representative, Laura Ortiz.",Tirzah.anderson@ymcadallas.org,Lori Berry
YMCA Dallas,Camp Broken Arrow in North Dallas,07/21/25 - 07/25/25,"Mo,Tu,We,Th,Fr",8:00am,5:00pm,Brookhaven College Campus,,,$185.00 per week for YMCA Members | $215.00 for Non-Members,"Camp Broken Arrow is an Indoor Camp. Campers at Indoor Camps spend approximately 30% of their time outside.
Camp Broken Arrow Location: Brookhaven College Campus | 3939 Valley View Lane, Farmers Branch, 75244
Camp Regular Care Rates:  $185.00 per week for YMCA Members | $215.00 for Non-Members
Camp Extended Care Rates: $205.00 per week for YMCA Members | $235.00 for Non-Members
Camp Premium Extended Care Rates: $235.00 per week for YMCA Members | $265.00 for Non-Members
(Second child discounts are not automatically applied at the point of registration. Please email Tirzah.anderson@ymcadallas.org after completing the enrollment process for your weekly rate to be adjusted accordingly.)
Camp Registration Fees (non-refundable/non-transferable): $100.00
(Registration Fee is discounted 50% during Super Sign-Up Weekend Friday, March 7th through Monday, March 10th)
Camp Hours of Operation – Regular Care: 8:00am to 5:00pm
Camp Hours of Operation – Extended Care: 7:30am to 5:30pm
Camp Hours of Operation – Premium Extended Care: 7:00am to 6:00pm
Camp Dates: Camp will operate weekly Monday through Friday from 6/2/2025 to 8/1/2025.
Camp will be closed on Friday 7/4/2025.
Camp Meals/Snacks: TBD
YMCA Dallas serves free summer meals at select summer camp locations that meet specific at-risk/income guidelines established by the Texas Department of Agriculture and the USDA. These meals are at no cost to our families and are not reflected in the price of the weekly camper week. Campers can choose to partake, or they can bring their own nut-free lunch.
Please note that we do not allow any foods that contain or that are processed in plants with tree nuts or peanuts at any of our campsites. We also do not have the capacity to heat up or refrigerate food. 
Program Director: Lori Berry | lberry@ymcadallas.org
Childcare Customer Support: Laura Ortiz | lortiz@ymcadallas.org or 469-722-7329
  Wait List Update: 
All weeks are on a first come first serve basis.  Once a camp is full, you can check back with us weekly on Wednesday morning or Friday at noon, as all availability will be public online. Click the “Register for Camp” to view availability.
Questions about enrollment? Contact your Customer Support Representative, Laura Ortiz.",Tirzah.anderson@ymcadallas.org,Lori Berry
YMCA Dallas,Camp Broken Arrow in North Dallas,07/28/25 - 08/01/25,"Mo,Tu,We,Th,Fr",8:00am,5:00pm,Brookhaven College Campus,,,$185.00 per week for YMCA Members | $215.00 for Non-Members,"Camp Broken Arrow is an Indoor Camp. Campers at Indoor Camps spend approximately 30% of their time outside.
Camp Broken Arrow Location: Brookhaven College Campus | 3939 Valley View Lane, Farmers Branch, 75244
Camp Regular Care Rates:  $185.00 per week for YMCA Members | $215.00 for Non-Members
Camp Extended Care Rates: $205.00 per week for YMCA Members | $235.00 for Non-Members
Camp Premium Extended Care Rates: $235.00 per week for YMCA Members | $265.00 for Non-Members
(Second child discounts are not automatically applied at the point of registration. Please email Tirzah.anderson@ymcadallas.org after completing the enrollment process for your weekly rate to be adjusted accordingly.)
Camp Registration Fees (non-refundable/non-transferable): $100.00
(Registration Fee is discounted 50% during Super Sign-Up Weekend Friday, March 7th through Monday, March 10th)
Camp Hours of Operation – Regular Care: 8:00am to 5:00pm
Camp Hours of Operation – Extended Care: 7:30am to 5:30pm
Camp Hours of Operation – Premium Extended Care: 7:00am to 6:00pm
Camp Dates: Camp will operate weekly Monday through Friday from 6/2/2025 to 8/1/2025.
Camp will be closed on Friday 7/4/2025.
Camp Meals/Snacks: TBD
YMCA Dallas serves free summer meals at select summer camp locations that meet specific at-risk/income guidelines established by the Texas Department of Agriculture and the USDA. These meals are at no cost to our families and are not reflected in the price of the weekly camper week. Campers can choose to partake, or they can bring their own nut-free lunch.
Please note that we do not allow any foods that contain or that are processed in plants with tree nuts or peanuts at any of our campsites. We also do not have the capacity to heat up or refrigerate food. 
Program Director: Lori Berry | lberry@ymcadallas.org
Childcare Customer Support: Laura Ortiz | lortiz@ymcadallas.org or 469-722-7329
  Wait List Update: 
All weeks are on a first come first serve basis.  Once a camp is full, you can check back with us weekly on Wednesday morning or Friday at noon, as all availability will be public online. Click the “Register for Camp” to view availability.
Questions about enrollment? Contact your Customer Support Representative, Laura Ortiz.",Tirzah.anderson@ymcadallas.org,Lori Berry
YMCA Dallas,Camp Buffalo Creek in Waxahachie,05/27/25 - 05/30/25,"Camp Not in Service Monday, 5/26/2025 - Tu,We,Th,Fr",8:00am,5:00pm,Waxahachie Family YMCA,,,$170.00 per week for YMCA Members | $205.00 for Non-Members,"Camp Buffalo Creek is an Indoor Camp. Campers at Indoor Camps spend approximately 30% of their time outside.
Camp Buffalo Creek Location: Waxahachie Family YMCA | 100 YMCA Dr, Waxahachie, 75165
Camp Regular Care Rates:  $170.00 per week for YMCA Members | $205.00 for Non-Members
Camp Extended Care Rates: $190.00 per week for YMCA Members | $225.00 for Non-Members
Camp Premium Extended Care Rates: $220.00 per week for YMCA Members | $255.00 for Non-Members
(Second child discounts are not automatically applied at the point of registration. Please email Tirzah.anderson@ymcadallas.org after completing the enrollment process for your weekly rate to be adjusted accordingly.)
Camp Registration Fees (non-refundable/non-transferable): $100.00
(Registration Fee is discounted 50% during Super Sign Up Weekend Friday, March 7th through Monday, March 10th)
Camp Hours of Operation – Regular Care: 8:00am to 5:00pm
Camp Hours of Operation – Extended Care: 7:30am to 5:30pm
Camp Hours of Operation – Premium Extended Care: 7:00am to 6:00pm
Camp Dates: Camp will operate weekly Monday through Friday from 5/27/2025 to 8/1/2025.
Camp will be closed on Monday 5/26/2025 and Friday 7/4/2025.
Camp Meals/Snacks: TBD
YMCA Dallas serves free summer meals at select summer camp locations that meet specific at-risk/income guidelines established by the Texas Department of Agriculture and the USDA. These meals are at no cost to our families and are not reflected in the price of the weekly camper week. Campers can choose to partake, or they can bring their own nut-free lunch.
Please note that we do not allow any foods that contain or that are processed in plants with tree nuts or peanuts at any of our campsites. We also do not have the capacity to heat up or refrigerate food. 
Program Director: Matthew Carter | matthew.carter@ymcadallas.org
Childcare Customer Support: Laura Ortiz | lortiz@ymcadallas.org or 469-722-7329
  Wait List Update: 
All weeks are on a first come first serve basis. Once a camp is full, you can check back with us weekly on Wednesday morning or Friday at noon, as all availability will be public online. Click the “Register for Camp” to view availability.
Questions about enrollment? Contact your Customer Support Representative, Laura Ortiz.",Tirzah.anderson@ymcadallas.org,Matthew Carter
